DateName,Date,Name,Session Type,Time,TD,Max Speed,MPM,HSD,Sprint Distance,Session RPE
43101Athlete 39,1/1/2018,Athlete 39,Technical,46,5980,8,130,1866,1325,4
43101Athlete 32,1/1/2018,Athlete 32,Technical,71,6035,8,85,1795,1183,3
43101Athlete 28,1/1/2018,Athlete 28,Technical,60,6317,6,105,2027,1368,4
43102Athlete 16,1/2/2018,Athlete 16,Technical,52,2976,8,57,632,0,2
43102Athlete 07,1/2/2018,Athlete 07,Technical,86,3068,9,36,833,23,3
43102Athlete 02,1/2/2018,Athlete 02,Technical,52,3084,7,59,834,0,7
43102Athlete 40,1/2/2018,Athlete 40,Technical,52,3084,7,59,834,0,4
43102Athlete 39,1/2/2018,Athlete 39,Technical,73,3439,9,47,237,97,2
43102Athlete 38,1/2/2018,Athlete 38,Technical,70,3564,7,51,156,55,6
43102Athlete 11,1/2/2018,Athlete 11,Technical,72,3886,8,54,676,317,7
43102Athlete 08,1/2/2018,Athlete 08,Technical,70,4138,9,59,764,213,7
43102Athlete 15,1/2/2018,Athlete 15,Technical,100,4178,9,42,865,368,4
43102Athlete 05,1/2/2018,Athlete 05,Technical,74,4223,9,57,884,249,4
43102Athlete 35,1/2/2018,Athlete 35,Technical,100,4229,6,42,327,60,4
43102Athlete 18,1/2/2018,Athlete 18,Technical,73,4297,6,59,1091,322,8
43102Athlete 36,1/2/2018,Athlete 36,Technical,95,4364,8,46,538,171,4
43102Athlete 20,1/2/2018,Athlete 20,Technical,58,4467,9,77,655,235,5
43102Athlete 13,1/2/2018,Athlete 13,Technical,91,4476,6,49,864,367,7
43102Athlete 04,1/2/2018,Athlete 04,Technical,54,4640,8,86,1008,449,6
43102Athlete 12,1/2/2018,Athlete 12,Technical,47,5050,8,107,754,269,2
43102Athlete 23,1/2/2018,Athlete 23,Technical,63,5101,9,81,1009,331,7
43102Athlete 06,1/2/2018,Athlete 06,Technical,84,5134,7,61,1340,635,3
43102Athlete 09,1/2/2018,Athlete 09,Technical,55,5185,6,94,1200,659,2
43102Athlete 21,1/2/2018,Athlete 21,Technical,55,5273,8,96,1015,296,9
43102Athlete 33,1/2/2018,Athlete 33,Technical,91,5280,8,58,1025,552,3
43102Athlete 28,1/2/2018,Athlete 28,Technical,86,5292,8,62,444,116,8
43102Athlete 22,1/2/2018,Athlete 22,Technical,88,5302,7,60,1636,678,3
43102Athlete 27,1/2/2018,Athlete 27,Technical,93,5386,7,58,698,329,8
43102Athlete 01,1/2/2018,Athlete 01,Technical,71,5398,9,76,1375,479,5
43102Athlete 24,1/2/2018,Athlete 24,Technical,59,5410,6,92,751,409,4
43102Athlete 19,1/2/2018,Athlete 19,Technical,94,5417,6,58,1423,620,6
43102Athlete 14,1/2/2018,Athlete 14,Technical,56,5442,7,97,1375,448,3
43102Athlete 17,1/2/2018,Athlete 17,Technical,50,5540,9,111,1613,665,6
43102Athlete 10,1/2/2018,Athlete 10,Technical,70,5575,8,80,1475,709,2
43102Athlete 29,1/2/2018,Athlete 29,Technical,59,5609,8,95,580,139,8
43102Athlete 31,1/2/2018,Athlete 31,Technical,78,5647,7,72,453,188,8
43102Athlete 03,1/2/2018,Athlete 03,Technical,72,5888,7,82,1795,819,5
43102Athlete 26,1/2/2018,Athlete 26,Technical,61,5897,9,97,399,38,2
43102Athlete 34,1/2/2018,Athlete 34,Technical,88,6046,8,69,1120,439,3
43102Athlete 30,1/2/2018,Athlete 30,Technical,77,6076,7,79,1025,372,2
43102Athlete 25,1/2/2018,Athlete 25,Technical,97,6379,8,66,585,178,3
43102Athlete 32,1/2/2018,Athlete 32,Technical,61,6767,9,111,1058,407,6
43102Athlete 37,1/2/2018,Athlete 37,Technical,77,6981,9,91,1048,576,9
43103Athlete 14,1/3/2018,Athlete 14,Conditioning,52,2976,9,57,632,0,8
43103Athlete 05,1/3/2018,Athlete 05,Conditioning,86,3068,8,36,833,23,7
43103Athlete 36,1/3/2018,Athlete 36,Conditioning,70,3564,8,51,156,55,3
43103Athlete 09,1/3/2018,Athlete 09,Conditioning,72,3886,8,54,676,317,9
43103Athlete 06,1/3/2018,Athlete 06,Conditioning,70,4138,9,59,764,213,7
43103Athlete 13,1/3/2018,Athlete 13,Conditioning,100,4178,7,42,865,368,9
43103Athlete 03,1/3/2018,Athlete 03,Conditioning,74,4223,8,57,884,249,6
43103Athlete 16,1/3/2018,Athlete 16,Conditioning,73,4297,8,59,1091,322,3
43103Athlete 18,1/3/2018,Athlete 18,Conditioning,58,4467,6,77,655,235,2
43103Athlete 11,1/3/2018,Athlete 11,Conditioning,91,4476,8,49,864,367,2
43103Athlete 23,1/3/2018,Athlete 23,Conditioning,52,4569,9,88,979,286,9
43103Athlete 02,1/3/2018,Athlete 02,Conditioning,54,4640,9,86,1008,449,6
43103Athlete 37,1/3/2018,Athlete 37,Conditioning,95,4989,6,53,457,64,6
43103Athlete 10,1/3/2018,Athlete 10,Conditioning,47,5050,7,107,754,269,7
43103Athlete 21,1/3/2018,Athlete 21,Conditioning,63,5101,6,81,1009,331,5
43103Athlete 04,1/3/2018,Athlete 04,Conditioning,84,5134,8,61,1340,635,2
43103Athlete 07,1/3/2018,Athlete 07,Conditioning,55,5185,8,94,1200,659,5
43103Athlete 39,1/3/2018,Athlete 39,Conditioning,67,5252,6,78,2261,933,5
43103Athlete 19,1/3/2018,Athlete 19,Conditioning,55,5273,8,96,1015,296,9
43103Athlete 20,1/3/2018,Athlete 20,Conditioning,88,5302,9,60,1636,678,7
43103Athlete 17,1/3/2018,Athlete 17,Conditioning,94,5417,9,58,1423,620,3
43103Athlete 12,1/3/2018,Athlete 12,Conditioning,56,5442,6,97,1375,448,9
43103Athlete 15,1/3/2018,Athlete 15,Conditioning,50,5540,8,111,1613,665,2
43103Athlete 08,1/3/2018,Athlete 08,Conditioning,70,5575,7,80,1475,709,4
43103Athlete 01,1/3/2018,Athlete 01,Conditioning,72,5888,9,82,1795,819,7
43103Athlete 26,1/3/2018,Athlete 26,Conditioning,85,5981,9,70,1703,514,9
43103Athlete 34,1/3/2018,Athlete 34,Conditioning,57,6416,7,113,1189,462,8
43103Athlete 29,1/3/2018,Athlete 29,Conditioning,65,6708,7,103,814,98,7
43103Athlete 24,1/3/2018,Athlete 24,Conditioning,98,6845,7,70,992,109,4
43103Athlete 35,1/3/2018,Athlete 35,Conditioning,77,6981,6,91,1048,576,4
43103Athlete 27,1/3/2018,Athlete 27,Conditioning,70,7092,8,101,1225,270,9
43103Athlete 31,1/3/2018,Athlete 31,Conditioning,76,7281,8,96,2024,509,5
43103Athlete 32,1/3/2018,Athlete 32,Conditioning,67,7304,7,109,1103,96,5
43103Athlete 28,1/3/2018,Athlete 28,Conditioning,61,7568,6,124,2176,792,7
43103Athlete 30,1/3/2018,Athlete 30,Conditioning,57,7643,8,134,2051,650,7
43103Athlete 38,1/3/2018,Athlete 38,Conditioning,91,7717,8,85,1766,703,6
43103Athlete 25,1/3/2018,Athlete 25,Conditioning,82,7828,6,95,2294,730,4
43103Athlete 22,1/3/2018,Athlete 22,Conditioning,75,7905,9,105,2187,769,9
43103Athlete 33,1/3/2018,Athlete 33,Conditioning,72,7928,9,110,1619,314,9
43103Athlete 40,1/3/2018,Athlete 40,Conditioning,57,8123,7,143,2009,822,3
43104Athlete 27,1/4/2018,Athlete 27,Tactical,57,3505,9,61,428,166,4
43104Athlete 28,1/4/2018,Athlete 28,Tactical,90,3694,8,41,278,97,6
43104Athlete 31,1/4/2018,Athlete 31,Tactical,59,4282,6,73,930,489,8
43104Athlete 09,1/4/2018,Athlete 09,Tactical,65,4446,7,68,642,57,4
43104Athlete 29,1/4/2018,Athlete 29,Tactical,53,4705,9,89,1133,542,2
43104Athlete 26,1/4/2018,Athlete 26,Tactical,65,4901,7,75,1140,600,7
43104Athlete 33,1/4/2018,Athlete 33,Tactical,67,5252,7,78,2261,933,3
43104Athlete 12,1/4/2018,Athlete 12,Tactical,60,5376,6,90,629,91,6
43104Athlete 30,1/4/2018,Athlete 30,Tactical,57,5385,8,94,1484,867,6
43104Athlete 21,1/4/2018,Athlete 21,Tactical,61,5897,8,97,399,38,5
43104Athlete 14,1/4/2018,Athlete 14,Tactical,51,6081,6,119,888,247,5
43104Athlete 01,1/4/2018,Athlete 01,Tactical,94,6117,6,65,974,353,2
43104Athlete 35,1/4/2018,Athlete 35,Tactical,94,6117,7,65,974,353,3
43104Athlete 10,1/4/2018,Athlete 10,Tactical,92,6411,9,70,2202,493,5
43104Athlete 03,1/4/2018,Athlete 03,Tactical,51,6538,9,128,1542,728,8
43104Athlete 37,1/4/2018,Athlete 37,Tactical,51,6538,7,128,1542,728,9
43104Athlete 32,1/4/2018,Athlete 32,Tactical,91,6580,7,72,1177,301,2
43104Athlete 18,1/4/2018,Athlete 18,Tactical,74,6737,7,91,543,124,2
43104Athlete 20,1/4/2018,Athlete 20,Tactical,59,6794,6,115,953,436,2
43104Athlete 04,1/4/2018,Athlete 04,Tactical,61,6896,8,113,1196,447,6
43104Athlete 38,1/4/2018,Athlete 38,Tactical,61,6896,8,113,1196,447,8
43104Athlete 17,1/4/2018,Athlete 17,Tactical,72,7083,6,98,1550,676,5
43104Athlete 25,1/4/2018,Athlete 25,Tactical,46,7297,8,159,1746,733,7
43104Athlete 02,1/4/2018,Athlete 02,Tactical,61,7436,7,122,2130,880,8
43104Athlete 36,1/4/2018,Athlete 36,Tactical,61,7436,8,122,2130,880,5
43104Athlete 05,1/4/2018,Athlete 05,Tactical,83,7439,6,90,1186,379,4
43104Athlete 39,1/4/2018,Athlete 39,Tactical,83,7439,9,90,1186,379,2
43104Athlete 15,1/4/2018,Athlete 15,Tactical,83,7466,7,90,1078,524,4
43104Athlete 19,1/4/2018,Athlete 19,Tactical,85,7474,6,88,1582,730,8
43104Athlete 07,1/4/2018,Athlete 07,Tactical,94,7654,6,81,1165,359,8
43104Athlete 06,1/4/2018,Athlete 06,Tactical,100,7676,8,77,1849,971,3
43104Athlete 40,1/4/2018,Athlete 40,Tactical,100,7676,9,77,1849,971,9
43104Athlete 23,1/4/2018,Athlete 23,Tactical,52,7766,7,149,1585,470,7
43104Athlete 08,1/4/2018,Athlete 08,Tactical,70,7791,7,111,2122,998,8
43104Athlete 16,1/4/2018,Athlete 16,Tactical,92,7888,6,86,1228,430,8
43104Athlete 13,1/4/2018,Athlete 13,Tactical,97,7944,6,82,1721,631,7
43104Athlete 34,1/4/2018,Athlete 34,Tactical,57,8123,8,143,2009,822,2
43104Athlete 22,1/4/2018,Athlete 22,Tactical,95,8145,6,86,1569,462,7
43104Athlete 24,1/4/2018,Athlete 24,Tactical,87,8364,6,96,1618,632,2
43104Athlete 11,1/4/2018,Athlete 11,Tactical,55,8469,6,154,1310,492,3
43105Athlete 16,1/5/2018,Athlete 16,Match,53,3570,7,67,140,30,5
43105Athlete 03,1/5/2018,Athlete 03,Match,65,4446,6,68,642,57,7
43105Athlete 37,1/5/2018,Athlete 37,Match,65,4446,9,68,642,57,4
43105Athlete 13,1/5/2018,Athlete 13,Match,74,4808,6,65,434,146,3
43105Athlete 27,1/5/2018,Athlete 27,Match,69,5004,7,73,744,353,2
43105Athlete 06,1/5/2018,Athlete 06,Match,60,5376,7,90,629,91,8
43105Athlete 40,1/5/2018,Athlete 40,Match,60,5376,9,90,629,91,8
43105Athlete 18,1/5/2018,Athlete 18,Match,64,5952,6,93,754,231,8
43105Athlete 08,1/5/2018,Athlete 08,Match,51,6081,7,119,888,247,3
43105Athlete 29,1/5/2018,Athlete 29,Match,94,6117,7,65,974,353,2
43105Athlete 21,1/5/2018,Athlete 21,Match,50,6147,6,123,495,55,3
43105Athlete 04,1/5/2018,Athlete 04,Match,92,6411,9,70,2202,493,5
43105Athlete 38,1/5/2018,Athlete 38,Match,92,6411,8,70,2202,493,8
43105Athlete 31,1/5/2018,Athlete 31,Match,51,6538,9,128,1542,728,7
43105Athlete 19,1/5/2018,Athlete 19,Match,49,6554,7,134,1128,240,8
43105Athlete 25,1/5/2018,Athlete 25,Match,91,6580,6,72,1177,301,3
43105Athlete 17,1/5/2018,Athlete 17,Match,59,6728,6,114,619,102,5
43105Athlete 12,1/5/2018,Athlete 12,Match,74,6737,7,91,543,124,5
43105Athlete 32,1/5/2018,Athlete 32,Match,61,6896,9,113,1196,447,5
43105Athlete 11,1/5/2018,Athlete 11,Match,72,7083,8,98,1550,676,8
43105Athlete 20,1/5/2018,Athlete 20,Match,98,7088,8,72,1564,791,7
43105Athlete 26,1/5/2018,Athlete 26,Match,91,7170,6,79,1848,382,6
43105Athlete 22,1/5/2018,Athlete 22,Match,94,7190,8,76,1877,821,5
43105Athlete 24,1/5/2018,Athlete 24,Match,94,7391,6,79,1360,384,6
43105Athlete 23,1/5/2018,Athlete 23,Match,73,7402,7,101,1472,583,5
43105Athlete 30,1/5/2018,Athlete 30,Match,61,7436,9,122,2130,880,6
43105Athlete 33,1/5/2018,Athlete 33,Match,83,7439,9,90,1186,379,8
43105Athlete 09,1/5/2018,Athlete 09,Match,83,7466,9,90,1078,524,3
43105Athlete 14,1/5/2018,Athlete 14,Match,73,7576,7,104,1745,662,3
43105Athlete 01,1/5/2018,Athlete 01,Match,94,7654,8,81,1165,359,5
43105Athlete 35,1/5/2018,Athlete 35,Match,94,7654,6,81,1165,359,6
43105Athlete 34,1/5/2018,Athlete 34,Match,100,7676,8,77,1849,971,9
43105Athlete 02,1/5/2018,Athlete 02,Match,70,7791,8,111,2122,998,8
43105Athlete 36,1/5/2018,Athlete 36,Match,70,7791,6,111,2122,998,9
43105Athlete 10,1/5/2018,Athlete 10,Match,92,7888,8,86,1228,430,2
43105Athlete 07,1/5/2018,Athlete 07,Match,97,7944,8,82,1721,631,5
43105Athlete 28,1/5/2018,Athlete 28,Match,57,8123,7,143,2009,822,9
43105Athlete 15,1/5/2018,Athlete 15,Match,95,8145,9,86,1569,462,2
43105Athlete 05,1/5/2018,Athlete 05,Match,55,8469,8,154,1310,492,3
43105Athlete 39,1/5/2018,Athlete 39,Match,55,8469,9,154,1310,492,6
43106Athlete 08,1/6/2018,Athlete 08,Technical,90,2519,7,28,67,21,3
43106Athlete 39,1/6/2018,Athlete 39,Technical,53,2783,8,53,88,43,3
43106Athlete 33,1/6/2018,Athlete 33,Technical,84,2959,9,35,76,20,5
43106Athlete 35,1/6/2018,Athlete 35,Technical,93,2993,9,32,98,6,3
43106Athlete 30,1/6/2018,Athlete 30,Technical,99,3141,9,32,37,12,9
43106Athlete 14,1/6/2018,Athlete 14,Technical,57,3505,8,61,428,166,2
43106Athlete 37,1/6/2018,Athlete 37,Technical,72,3532,6,49,281,117,8
43106Athlete 29,1/6/2018,Athlete 29,Technical,69,3543,7,51,172,64,8
43106Athlete 34,1/6/2018,Athlete 34,Technical,93,3596,7,39,133,62,2
43106Athlete 36,1/6/2018,Athlete 36,Technical,51,3669,6,72,251,119,6
43106Athlete 15,1/6/2018,Athlete 15,Technical,90,3694,8,41,278,97,4
43106Athlete 32,1/6/2018,Athlete 32,Technical,58,3815,7,66,154,60,7
43106Athlete 38,1/6/2018,Athlete 38,Technical,67,3826,8,57,207,61,5
43106Athlete 31,1/6/2018,Athlete 31,Technical,63,3926,7,62,198,70,3
43106Athlete 25,1/6/2018,Athlete 25,Technical,83,4007,8,48,551,222,2
43106Athlete 18,1/6/2018,Athlete 18,Technical,59,4282,7,73,930,489,4
43106Athlete 27,1/6/2018,Athlete 27,Technical,78,4315,8,55,437,122,4
43106Athlete 16,1/6/2018,Athlete 16,Technical,53,4705,6,89,1133,542,2
43106Athlete 26,1/6/2018,Athlete 26,Technical,50,4823,8,96,659,146,2
43106Athlete 13,1/6/2018,Athlete 13,Technical,65,4901,6,75,1140,600,8
43106Athlete 21,1/6/2018,Athlete 21,Technical,69,5004,7,73,744,353,3
43106Athlete 22,1/6/2018,Athlete 22,Technical,47,5157,9,110,770,402,7
43106Athlete 24,1/6/2018,Athlete 24,Technical,55,5202,8,95,641,229,3
43106Athlete 28,1/6/2018,Athlete 28,Technical,89,5239,8,59,906,523,4
43106Athlete 17,1/6/2018,Athlete 17,Technical,57,5385,9,94,1484,867,2
43106Athlete 10,1/6/2018,Athlete 10,Technical,92,5950,7,65,1918,1273,5
43106Athlete 09,1/6/2018,Athlete 09,Technical,89,6023,9,68,524,90,7
43106Athlete 02,1/6/2018,Athlete 02,Technical,51,6081,7,119,888,247,8
43106Athlete 23,1/6/2018,Athlete 23,Technical,64,6307,7,99,807,317,7
43106Athlete 19,1/6/2018,Athlete 19,Technical,91,6580,6,72,1177,301,6
43106Athlete 40,1/6/2018,Athlete 40,Technical,79,6720,6,85,1367,389,4
43106Athlete 06,1/6/2018,Athlete 06,Technical,74,6737,6,91,543,124,9
43106Athlete 05,1/6/2018,Athlete 05,Technical,72,7083,7,98,1550,676,6
43106Athlete 11,1/6/2018,Athlete 11,Technical,70,7092,8,101,1225,270,5
43106Athlete 20,1/6/2018,Athlete 20,Technical,91,7170,9,79,1848,382,9
43106Athlete 12,1/6/2018,Athlete 12,Technical,46,7297,9,159,1746,733,2
43106Athlete 03,1/6/2018,Athlete 03,Technical,83,7466,6,90,1078,524,3
43106Athlete 07,1/6/2018,Athlete 07,Technical,73,7576,9,104,1745,662,7
43106Athlete 04,1/6/2018,Athlete 04,Technical,92,7888,8,86,1228,430,3
43106Athlete 01,1/6/2018,Athlete 01,Technical,97,7944,6,82,1721,631,3
43107Athlete 12,1/7/2018,Athlete 12,Technical,55,2420,7,44,246,24,4
43107Athlete 04,1/7/2018,Athlete 04,Technical,75,2536,7,34,32,15,3
43107Athlete 40,1/7/2018,Athlete 40,Technical,63,2858,9,45,222,31,7
43107Athlete 25,1/7/2018,Athlete 25,Technical,84,2959,6,35,76,20,9
43107Athlete 27,1/7/2018,Athlete 27,Technical,93,2993,6,32,98,6,8
43107Athlete 34,1/7/2018,Athlete 34,Technical,82,3036,9,37,166,58,2
43107Athlete 22,1/7/2018,Athlete 22,Technical,99,3141,9,32,37,12,8
43107Athlete 38,1/7/2018,Athlete 38,Technical,48,3367,9,70,560,129,5
43107Athlete 07,1/7/2018,Athlete 07,Technical,75,3447,7,46,881,461,4
43107Athlete 29,1/7/2018,Athlete 29,Technical,72,3532,8,49,281,117,2
43107Athlete 21,1/7/2018,Athlete 21,Technical,69,3543,9,51,172,64,2
43107Athlete 26,1/7/2018,Athlete 26,Technical,93,3596,7,39,133,62,8
43107Athlete 28,1/7/2018,Athlete 28,Technical,51,3669,8,72,251,119,9
43107Athlete 39,1/7/2018,Athlete 39,Technical,76,3811,8,50,889,405,7
43107Athlete 24,1/7/2018,Athlete 24,Technical,58,3815,8,66,154,60,3
43107Athlete 30,1/7/2018,Athlete 30,Technical,67,3826,9,57,207,61,5
43107Athlete 23,1/7/2018,Athlete 23,Technical,63,3926,7,62,198,70,4
43107Athlete 17,1/7/2018,Athlete 17,Technical,83,4007,9,48,551,222,8
43107Athlete 19,1/7/2018,Athlete 19,Technical,78,4315,8,55,437,122,7
43107Athlete 10,1/7/2018,Athlete 10,Technical,46,4535,6,99,488,175,3
43107Athlete 36,1/7/2018,Athlete 36,Technical,67,4789,9,71,439,130,3
43107Athlete 18,1/7/2018,Athlete 18,Technical,50,4823,7,96,659,146,3
43107Athlete 31,1/7/2018,Athlete 31,Technical,86,5086,9,59,1294,630,6
43107Athlete 13,1/7/2018,Athlete 13,Technical,51,5178,6,102,1760,983,9
43107Athlete 16,1/7/2018,Athlete 16,Technical,55,5202,9,95,641,229,3
43107Athlete 20,1/7/2018,Athlete 20,Technical,89,5239,7,59,906,523,3
43107Athlete 08,1/7/2018,Athlete 08,Technical,85,5331,7,63,1665,1198,9
43107Athlete 09,1/7/2018,Athlete 09,Technical,90,5472,8,61,1859,1278,8
43107Athlete 01,1/7/2018,Athlete 01,Technical,72,5543,8,77,1720,1169,4
43107Athlete 11,1/7/2018,Athlete 11,Technical,63,5692,8,90,1872,1290,6
43107Athlete 05,1/7/2018,Athlete 05,Technical,64,5952,8,93,754,231,8
43107Athlete 06,1/7/2018,Athlete 06,Technical,71,6035,8,85,1795,1183,9
43107Athlete 15,1/7/2018,Athlete 15,Technical,64,6307,9,99,807,317,8
43107Athlete 35,1/7/2018,Athlete 35,Technical,98,6694,9,68,1442,349,3
43107Athlete 14,1/7/2018,Athlete 14,Technical,59,6813,9,115,1086,278,7
43107Athlete 37,1/7/2018,Athlete 37,Technical,57,7643,6,134,2051,650,2
43107Athlete 03,1/7/2018,Athlete 03,Technical,52,7766,6,149,1585,470,2
43107Athlete 02,1/7/2018,Athlete 02,Technical,82,7828,7,95,2294,730,3
43107Athlete 32,1/7/2018,Athlete 32,Technical,48,7911,9,165,2136,684,2
43107Athlete 33,1/7/2018,Athlete 33,Technical,83,8527,6,103,1552,614,2
43108Athlete 02,1/8/2018,Athlete 02,Conditioning,55,2420,9,44,246,24,7
43108Athlete 30,1/8/2018,Athlete 30,Conditioning,55,2420,8,44,246,24,7
43108Athlete 12,1/8/2018,Athlete 12,Conditioning,52,2976,8,57,632,0,4
43108Athlete 39,1/8/2018,Athlete 39,Conditioning,52,2976,6,57,632,0,2
43108Athlete 25,1/8/2018,Athlete 25,Conditioning,46,3603,8,78,396,91,3
43108Athlete 26,1/8/2018,Athlete 26,Conditioning,90,3694,7,41,278,97,9
43108Athlete 21,1/8/2018,Athlete 21,Conditioning,46,3752,7,82,246,103,4
43108Athlete 07,1/8/2018,Athlete 07,Conditioning,72,3886,8,54,676,317,9
43108Athlete 34,1/8/2018,Athlete 34,Conditioning,72,3886,7,54,676,317,5
43108Athlete 11,1/8/2018,Athlete 11,Conditioning,100,4178,9,42,865,368,7
43108Athlete 38,1/8/2018,Athlete 38,Conditioning,100,4178,6,42,865,368,5
43108Athlete 01,1/8/2018,Athlete 01,Conditioning,59,4278,7,73,850,374,9
43108Athlete 14,1/8/2018,Athlete 14,Conditioning,73,4297,7,59,1091,322,7
43108Athlete 16,1/8/2018,Athlete 16,Conditioning,58,4467,6,77,655,235,7
43108Athlete 09,1/8/2018,Athlete 09,Conditioning,91,4476,9,49,864,367,7
43108Athlete 36,1/8/2018,Athlete 36,Conditioning,91,4476,7,49,864,367,7
43108Athlete 28,1/8/2018,Athlete 28,Conditioning,46,4535,6,99,488,175,2
43108Athlete 08,1/8/2018,Athlete 08,Conditioning,47,5050,6,107,754,269,8
43108Athlete 35,1/8/2018,Athlete 35,Conditioning,47,5050,8,107,754,269,6
43108Athlete 19,1/8/2018,Athlete 19,Conditioning,63,5101,6,81,1009,331,8
43108Athlete 03,1/8/2018,Athlete 03,Conditioning,51,5178,7,102,1760,983,6
43108Athlete 31,1/8/2018,Athlete 31,Conditioning,51,5178,7,102,1760,983,7
43108Athlete 05,1/8/2018,Athlete 05,Conditioning,55,5185,9,94,1200,659,8
43108Athlete 17,1/8/2018,Athlete 17,Conditioning,55,5273,7,96,1015,296,2
43108Athlete 18,1/8/2018,Athlete 18,Conditioning,88,5302,9,60,1636,678,5
43108Athlete 15,1/8/2018,Athlete 15,Conditioning,94,5417,7,58,1423,620,2
43108Athlete 10,1/8/2018,Athlete 10,Conditioning,56,5442,8,97,1375,448,5
43108Athlete 37,1/8/2018,Athlete 37,Conditioning,56,5442,8,97,1375,448,4
43108Athlete 27,1/8/2018,Athlete 27,Conditioning,90,5472,7,61,1859,1278,4
43108Athlete 13,1/8/2018,Athlete 13,Conditioning,50,5540,9,111,1613,665,6
43108Athlete 40,1/8/2018,Athlete 40,Conditioning,50,5540,8,111,1613,665,2
43108Athlete 06,1/8/2018,Athlete 06,Conditioning,70,5575,7,80,1475,709,6
43108Athlete 33,1/8/2018,Athlete 33,Conditioning,70,5575,9,80,1475,709,6
43108Athlete 29,1/8/2018,Athlete 29,Conditioning,63,5692,6,90,1872,1290,6
43108Athlete 23,1/8/2018,Athlete 23,Conditioning,60,6317,8,105,2027,1368,2
43108Athlete 22,1/8/2018,Athlete 22,Conditioning,99,6662,6,67,936,229,4
43108Athlete 04,1/8/2018,Athlete 04,Conditioning,59,6813,7,115,1086,278,5
43108Athlete 32,1/8/2018,Athlete 32,Conditioning,59,6813,8,115,1086,278,4
43108Athlete 24,1/8/2018,Athlete 24,Conditioning,61,7568,7,124,2176,792,7
43108Athlete 20,1/8/2018,Athlete 20,Conditioning,75,7905,8,105,2187,769,8
43109Athlete 07,1/9/2018,Athlete 07,Tactical,62,587,8,9,73,18,6
43109Athlete 35,1/9/2018,Athlete 35,Tactical,59,791,7,13,15,0,2
